,tau_a_Usq_Pa,tau_p_Usq_Pa,tau_st_a_Usq,tau_st_p_Usq,h_n,Station
0,1.1747942599067538,1.8275841862588018,0.005875073558305942,0.009139635674692012,2.067164179104477,Station01-DM521-11
1,0.2588729431517162,0.3469314606450079,0.001294732123130275,0.0017351496883100223,1.477272727272727,Station02-DM521-5
2,0.2883129421114874,0.35425236437882873,0.0014409155072817215,0.001770464140757458,,Station03-DM522-2
3,0.053182298823740225,0.14165913087036588,0.00026585629985533395,0.0007081486360477968,1.7626811594202898,Station04-DM521-1
4,0.10601202577183101,0.2079331302123671,0.0005304150922000037,0.0010403618799852612,2.564285714285714,Station05-DM522-1
5,0.29535939075322126,0.5552814616249595,0.0014768895687131715,0.0027765814260461664,1.36,Station06-MM526-1
6,0.4279715925762379,1.4708143609902324,0.002140597447752448,0.007356613200191521,2.507936507936508,Station07-MM524-9
7,0.10184427883564126,0.887709441953919,0.0005092533291793898,0.004438825566123074,1.3636363636363635,Station08-MM524-7
8,0.5561010694219108,0.8183160609277563,0.0027808359240653374,0.004092066756557623,2.296296296296296,Station09-DM613-1
9,0.014429465504674659,0.055206883726431635,7.219591040515569e-05,0.00027622029589176886,1.3205882352941174,Station10-MM524-10
10,0.4832630612289902,0.9704358733593097,0.00241663484184536,0.004852821023342172,4.848684210526316,Station01-MM602-1
11,0.7444535681843516,1.5694290752548905,0.00372377654020897,0.007850325959494628,4.1230769230769235,Station02-MM602-4
12,0.07736388079946929,0.4604924687703534,0.0003870129718419864,0.0023036145163349937,6.811111111111113,Station03-MM602-1
13,0.670150631186622,1.170669445122397,0.0033524299023931165,0.0058562762922376044,2.7752808988764044,Station04-DM603-2
14,0.34907304138272044,0.5478055666828036,0.0017453083674710307,0.0027389386344231006,3.111111111111111,Station05-DM603-1
15,0.23068014024486017,0.42278643118016634,0.0011535257262891077,0.0021141612996012893,3.644927536231884,Station06-DSBridge
16,0.23061603967918232,0.4556389010079681,0.0011529870664498392,0.0022780104998959823,1.8307692307692305,Station07-MM521-5
17,1.2932732483804814,2.9080698334984394,0.00646465857230965,0.014536509281037809,1.644230769230769,Station08-UM613-4
18,0.04082567283927282,0.04208167022381336,0.00020391107606311084,0.0002101843781400271,1.9947368421052634,Station09-MM620-2
19,0.19564729733285624,0.7453588457114795,0.0009781811534770167,0.0037265834253357266,1.355140186915888,Station10-MM625-2
20,0.25553932712862876,0.39895197316771275,0.0012776243637250841,0.0019946470337956898,1.3915094339622642,Station11-MM702-2
21,0.03475344913507176,0.05807504393267777,0.00017377814320884764,0.00029039343007852386,1.142857142857143,Station12-MM620-2B
22,1.8816595644215,5.252247033386056,0.009412838778116068,0.026273910266706935,4.482758620689655,Station01-MM515-2
23,0.17664101375662017,0.19668502204257363,0.0008833911518079343,0.0009836323086605148,5.738461538461538,Station02-MM520-1
24,0.0022469737969591885,0.014831834883348341,1.123771577863513e-05,7.417796554649449e-05,2.25,Station03-MM514-4
25,0.2158261162667194,0.30677566129944506,0.001079495163449511,0.0015343965242256546,7.149999999999999,Station04-Contraband-1
26,,,,,1.4166666666666667,Station87-Synthetic-1
27,3.9169765642648104,7.083314084254652,0.019607775262851096,0.035457968257290674,2.255813953488372,Station87-Synthetic-1
28,1.4181762182755586,1.6164417832195672,0.007099173369935438,0.008091660481683227,1.3846153846153846,Station87-Synthetic-2
29,,,,,1.5,Station87-Synthetic-2
30,0.601312426581268,1.0256372874301596,0.0030095126422742136,0.005133219016373895,1.434782608695652,Station87-Synthetic-2
31,4.137712835188426,6.486744851488258,0.020711466123941046,0.03246962793156958,2.12,Station87-Synthetic-2
32,4.034029631470757,5.470922416402578,0.020189447514418882,0.027380785733382703,1.9230769230769231,Station87-Synthetic-2
33,3.3819701048844983,5.062666826346589,0.016926240521178734,0.02533786926666566,2.0,Station87-Synthetic-2
34,3.9665735431373035,6.1661633699374265,0.019853010624377606,0.030862129634987655,1.96,Station87-Synthetic-2
35,3.152447341814071,5.178075355640386,0.01577824535186219,0.025916671891087133,2.0833333333333335,Station87-Synthetic-3
36,2.1248911127238386,2.8730274644724707,0.010635246107950877,0.01437972702535273,1.8095238095238095,Station87-Synthetic-3
37,,,,,1.6363636363636365,Station87-Synthetic-3
38,1.3187052073303474,2.124838978426818,0.006600112144494978,0.01063480713403899,1.5714285714285714,Station87-Synthetic-4
39,1.8390518821790098,2.7597272306948772,0.009205672115514553,0.013814261718344028,1.8695652173913044,Station87-Synthetic-4
40,,,,,1.4761904761904763,Station87-Synthetic-4
41,,,,,,Station87-Synthetic-4
42,,,,,1.3636363636363635,Station87-Synthetic-4
43,1.6927321723073603,2.4322439676023295,0.008473477789532769,0.012175325533105769,2.1818181818181817,Station87-Synthetic-4
44,2.0518516765171575,2.7457821518646015,0.010271175206217122,0.01374485781924372,2.3636363636363638,Station87-Synthetic-4
45,5.63226380170259,7.8946701755440225,0.028193780858403815,0.03951885222623631,3.6153846153846154,Station87-Synthetic-5
46,3.5884713875216128,5.591944332358801,0.017962686611474633,0.027991401558964756,3.1538461538461537,Station87-Synthetic-6
47,5.07,10.68,0.02,0.042,1.226666667,Station99-Flume
48,5.17,9.75,0.02,0.039,1.236486486,Station99-Flume
49,5.72,9.54,0.023,0.038,1.326797386,Station99-Flume
50,6.0,10.15,0.024,0.04,1.382550336,Station99-Flume
51,7.19,12.0,0.028,0.047,1.22,Station99-Flume
52,7.45,12.43,0.029,0.049,1.340136054,Station99-Flume
53,8.0,12.96,0.032,0.051,1.577777778,Station99-Flume
54,8.77,15.3,0.035,0.06,1.796296296,Station99-Flume
55,8.68,14.76,0.034,0.058,1.358108108,Station99-Flume
56,9.79,15.52,0.039,0.061,1.700934579,Station99-Flume
57,10.06,17.05,0.04,0.067,1.977777778,Station99-Flume
58,10.33,17.04,0.041,0.067,2.0,Station99-Flume
59,7.62,12.72,0.03,0.05,1.662068966,Station99-Flume
60,8.09,9.65,0.032,0.038,1.396946565,Station99-Flume
61,8.95,14.56,0.035,0.058,1.507936508,Station99-Flume
62,9.5,18.14,0.038,0.072,1.677419355,Station99-Flume
