File,Q_cms,S_p,T_cm,x_m,h_cm,z_cm,air,notes
Run1A_01.dat,0.099,0.5,7.8,5.12,12.5,1.7,0,
Run1A_02.dat,0.099,0.5,7.8,5.12,12.5,2.7,0,
Run1A_03.dat,0.099,0.5,7.8,5.12,12.5,3.7,0,
Run1A_04.dat,0.099,0.5,7.8,5.12,12.5,5.7,0,
Run1A_05.dat,0.099,0.5,7.8,5.12,12.5,7.7,0,
Run1A_06.dat,0.099,0.5,7.8,5.12,12.5,10.7,1,Top 2 receivers in air
Run1A_07.dat,0.099,0.5,7.8,4,8.5,2.3,NaN,no notes on air
Run1A_08.dat,0.099,0.5,7.8,3.85,3.4,0.4,NaN,no notes on air
Run1A_09.dat,0.099,0.5,7.8,3.7,3.4,1.6,NaN,no notes on air
Run1A_10.dat,0.099,0.5,7.8,3.5,9.9,4.1,NaN,no notes on air
Run1B_01.dat,0.113,0.5,7.8,5.12,12.8,1.7,0,h_wall 13.8
Run1B_02.dat,0.113,0.5,7.8,5.12,12.8,2.7,0,h_wall 13.8
Run1B_03.dat,0.113,0.5,7.8,5.12,12.8,3.7,0,h_wall 13.8
Run1B_04.dat,0.113,0.5,7.8,5.12,12.8,5.7,0,h_wall 13.8
Run1B_05.dat,0.113,0.5,7.8,5.12,12.8,7.7,0,h_wall 13.8
Run1B_06.dat,0.113,0.5,7.8,5.12,12.8,10.7,1,Top 2 receivers in air
Run1B_07.dat,0.113,0.5,7.8,4,9.4,3,NaN,no notes on air
Run1B_08.dat,0.113,0.5,7.8,3.85,3.5,0.2,NaN,no notes on air
Run1B_09.dat,0.113,0.5,7.8,3.7,3.6,1.1,NaN,no notes on air
Run1B_10.dat,0.113,0.5,7.8,3.5,12.3,5,NaN,no notes on air
Run1B_11.dat,0.113,0.5,7.8,3.4,NaN,4.1,NaN,"did not take water surface measurement here, no notes on air"
Run1C_01.dat,0.126,0.5,7.8,5.12,14.5,1.7,0,
Run1C_02.dat,0.126,0.5,7.8,5.12,14.5,2.7,0,
Run1C_03.dat,0.126,0.5,7.8,5.12,14.5,3.7,0,
Run1C_04.dat,0.126,0.5,7.8,5.12,14.5,5.7,0,
Run1C_05.dat,0.126,0.5,7.8,5.12,14.5,7.7,0,
Run1C_06.dat,0.126,0.5,7.8,5.12,14.5,10.7,1,Top 1 receiver in air
Run1C_07.dat,0.126,0.5,7.8,4.1,14.3,6.8,NaN,no notes on air
Run1C_08.dat,0.126,0.5,7.8,4,10,3.9,NaN,no notes on air
Run1C_09.dat,0.126,0.5,7.8,3.85,5,0.8,NaN,no notes on air
Run1C_10.dat,0.126,0.5,7.8,3.7,5.6,1.6,NaN,no notes on air
Run1C_11.dat,0.126,0.5,7.8,3.5,14,4.5,NaN,no notes on air
Run1C_12.dat,0.126,0.5,7.8,2.61,14.2,4.5,NaN,"no notes on air, h taken as h_wall"
Run1D_01.dat,0.139,0.5,7.8,5.12,15.4,1.7,0,h taken as h_wall
Run1D_02.dat,0.139,0.5,7.8,5.12,15.4,2.7,0,h taken as h_wall
Run1D_03.dat,0.139,0.5,7.8,5.12,15.4,3.7,0,h taken as h_wall
Run1D_04.dat,0.139,0.5,7.8,5.12,15.4,5.7,0,h taken as h_wall
Run1D_05.dat,0.139,0.5,7.8,5.12,15.4,7.7,0,h taken as h_wall
Run1D_06.dat,0.139,0.5,7.8,5.12,15.4,10.7,0,h taken as h_wall
Run1D_07.dat,0.139,0.5,7.8,5.12,15.4,12.7,1,h taken as h_wall
Run1D_08.dat,0.139,0.5,7.8,4,11.3,4.5,NaN,no notes on air
Run1D_09.dat,0.139,0.5,7.8,3.85,5.7,1.3,NaN,no notes on air
Run1D_10.dat,0.139,0.5,7.8,3.7,6.2,2.1,NaN,no notes on air
Run1D_11.dat,0.139,0.5,7.8,3.5,14.7,5.2,NaN,no notes on air
Run1D_12.dat,0.139,0.5,7.8,2.61,15.1,4.8,NaN,"no notes on air, h taken as h_wall"
Run2A_01.dat,0.1,0.75,8,5.12,11.7,1.7,0,h taken as h_wall
Run2A_02.dat,0.1,0.75,8,5.12,11.7,2.7,0,h taken as h_wall
Run2A_03.dat,0.1,0.75,8,5.12,11.7,3.7,0,h taken as h_wall
Run2A_04.dat,0.1,0.75,8,5.12,11.7,5.7,0,h taken as h_wall
Run2A_05.dat,0.1,0.75,8,5.12,11.7,7.7,0,h taken as h_wall
Run2A_06.dat,0.1,0.75,8,5.12,11.7,9.7,1,Top 2 receivers in air
Run2A_07.dat,0.1,0.75,8,4,8.5,2.7,NaN,no notes on air
Run2A_08.dat,0.1,0.75,8,3.85,3.3,0.4,1,all receivers may have had air
Run2A_09.dat,0.1,0.75,8,3.7,3.6,2,NaN,no notes on air
Run2A_10.dat,0.1,0.75,8,2.61,11.7,4.8,NaN,"no notes on air, h taken as h_wall"
Run2B_01.dat,0.113,0.75,8,5.12,12.2,1.7,0,
Run2B_02.dat,0.113,0.75,8,5.12,12.2,2.7,0,
Run2B_03.dat,0.113,0.75,8,5.12,12.2,3.7,0,
Run2B_04.dat,0.113,0.75,8,5.12,12.2,5.7,0,
Run2B_05.dat,0.113,0.75,8,5.12,12.2,7.7,0,
Run2B_06.dat,0.113,0.75,8,5.12,12.2,9.7,1,Top 2 receivers in air
Run2B_07.dat,0.113,0.75,8,4,9.4,3.2,NaN,no notes on air
Run2B_08.dat,0.113,0.75,8,3.85,5,1.6,NaN,no notes on air
Run2B_09.dat,0.113,0.75,8,3.7,4.7,0.8,NaN,no notes on air
Run2B_10.dat,0.113,0.75,8,2.61,12.8,4.8,NaN,"no notes on air, h taken as h_wall"
Run2C_01.dat,0.127,0.75,8,5.12,13.3,1.7,0,h taken as h_wall
Run2C_02.dat,0.127,0.75,8,5.12,13.3,2.7,0,
Run2C_03.dat,0.127,0.75,8,5.12,13.3,3.7,0,
Run2C_04.dat,0.127,0.75,8,5.12,13.3,5.7,0,
Run2C_05.dat,0.127,0.75,8,5.12,13.3,7.7,0,
Run2C_06.dat,0.127,0.75,8,5.12,13.3,8.7,1,Top 2 receivers in air
Run2C_07.dat,0.127,0.75,8,4,10.4,3,NaN,no notes on air
Run2C_08.dat,0.127,0.75,8,3.85,7.8,2.6,NaN,no notes on air
Run2C_09.dat,0.127,0.75,8,3.7,6.1,2.3,NaN,no notes on air
Run2C_10.dat,0.127,0.75,8,2.61,13.7,4.8,NaN,no notes on airm h taken as h_wall
Run2D_01.dat,0.139,0.75,8,5.12,14.9,1.7,0,
Run2D_02.dat,0.139,0.75,8,5.12,14.9,2.7,0,
Run2D_03.dat,0.139,0.75,8,5.12,14.9,3.7,0,
Run2D_04.dat,0.139,0.75,8,5.12,14.9,5.7,0,
Run2D_05.dat,0.139,0.75,8,5.12,14.9,7.7,0,
Run2D_06.dat,0.139,0.75,8,5.12,14.9,10.7,1,Top 1 receiver in air
Run2D_07.dat,0.139,0.75,8,4,10.8,7.3,NaN,no notes on air
Run2D_08.dat,0.139,0.75,8,3.85,8.6,7.2,NaN,no notes on air
Run2D_09.dat,0.139,0.75,8,3.7,7.1,6.2,NaN,no notes on air
Run2D_10.dat,0.139,0.75,8,2.61,14.4,4.8,NaN,"no notes on air, h taken as h_wall"
Run3A_01.dat,0.099,1,8,5.12,10.4,1.7,0,
Run3A_02.dat,0.099,1,8,5.12,10.4,2.7,0,
Run3A_03.dat,0.099,1,8,5.12,10.4,3.7,0,
Run3A_04.dat,0.099,1,8,5.12,10.4,5.7,0,
Run3A_05.dat,0.099,1,8,5.12,10.4,7.7,1,Top 2 receivers in air
Run3A_06.dat,0.099,1,8,4.1,11.4,4.1,0,
Run3A_07.dat,0.099,1,8,4,8.4,3.6,0,
Run3A_08.dat,0.099,1,8,3.85,5.3,1,1,
Run3A_09.dat,0.099,1,8,3.7,5.2,1.4,1,
Run3A_10.dat,0.099,1,8,2.61,10.7,4.8,0,h taken as h_wall
Run3B_01.dat,0.112,1,8,5.12,12,1.7,0,
Run3B_02.dat,0.112,1,8,5.12,12,2.7,0,
Run3B_03.dat,0.112,1,8,5.12,12,3.7,0,
Run3B_04.dat,0.112,1,8,5.12,12,5.7,0,
Run3B_05.dat,0.112,1,8,5.12,12,7.7,0,
Run3B_06.dat,0.112,1,8,5.12,12,8.7,1,Top 1 receiver in air
Run3B_07.dat,0.112,1,8,4,9.3,2.9,0,
Run3B_08.dat,0.112,1,8,3.85,7.5,2.6,1,Top 1 receiver in air
Run3B_09.dat,0.112,1,8,3.7,6.3,2.1,1,Top 1 receiver in air
Run3B_10.dat,0.112,1,8,3.5,6.8,2,1,Top 1 receiver in air
Run3B_11.dat,0.112,1,8,2.61,11.7,4.8,0,h taken as h_wall
Run3B_12.dat,0.112,1,8,2.61,11.7,4.8,0,accidentally taken twice (copy of Run3B_11)
Run3C_01.dat,0.126,1,8,5.12,12.4,1.7,0,
Run3C_02.dat,0.126,1,8,5.12,12.4,2.7,0,
Run3C_03.dat,0.126,1,8,5.12,12.4,3.7,0,
Run3C_04.dat,0.126,1,8,5.12,12.4,5.7,0,
Run3C_05.dat,0.126,1,8,5.12,12.4,7.7,0,
Run3C_06.dat,0.126,1,8,5.12,12.4,8.7,1,Top 2 receivers in air
Run3C_07.dat,0.126,1,8,4,10.7,4.7,0,
Run3C_08.dat,0.126,1,8,3.85,8.8,3.1,1,Top 1 receiver in air
Run3C_09.dat,0.126,1,8,3.7,7.2,1.9,0,
Run3C_10.dat,0.126,1,8,3.5,7,2.3,0,
Run3C_11.dat,0.126,1,8,2.61,12.3,4.8,0,h taken as h_wall
Run3D_01.dat,0.139,1,8,5.12,12.8,1.7,0,
Run3D_02.dat,0.139,1,8,5.12,12.8,2.7,0,
Run3D_03.dat,0.139,1,8,5.12,12.8,3.7,0,
Run3D_04.dat,0.139,1,8,5.12,12.8,5.7,0,
Run3D_05.dat,0.139,1,8,5.12,12.8,7.7,0,
Run3D_06.dat,0.139,1,8,5.12,12.8,8.7,1,Top 1 receiver in air
Run3D_07.dat,0.139,1,8,4,11.4,4.5,0,
Run3D_08.dat,0.139,1,8,3.85,8.9,3.1,0,
Run3D_09.dat,0.139,1,8,3.7,7.8,2.1,1,Top 1 receiver in air
Run3D_10.dat,0.139,1,8,3.5,8,2.5,1,Top 1 receiver in air
Run3D_11.dat,0.139,1,8,2.61,13.2,4.8,0,h taken as h_wall
Run4A_01.dat,0.098,0.85,8,5.12,10.8,1.7,0,
Run4A_02.dat,0.098,0.85,8,5.12,10.8,2.7,0,
Run4A_03.dat,0.098,0.85,8,5.12,10.8,3.7,0,
Run4A_04.dat,0.098,0.85,8,5.12,10.8,5.7,0,
Run4A_05.dat,0.098,0.85,8,5.12,10.8,7.7,1,Top 1 receiver in air
Run4A_06.dat,0.098,0.85,8,5.12,10.8,8.7,1,Top 1 receiver in air
Run4A_07.dat,0.098,0.85,8,4,11.1,4.6,0,
Run4A_08.dat,0.098,0.85,8,3.85,9.6,0.8,0,
Run4A_09.dat,0.098,0.85,8,3.7,3.4,0.7,0,
Run4A_10.dat,0.098,0.85,8,3.5,2.9,4.5,0,
Run4A_11.dat,0.098,0.85,8,2.61,10.3,10.2,0,h taken as h_wall
Run4B_01.dat,0.112,0.85,8,5.12,11.6,1.7,0,
Run4B_02.dat,0.112,0.85,8,5.12,11.6,2.7,0,
Run4B_03.dat,0.112,0.85,8,5.12,11.6,3.7,0,
Run4B_04.dat,0.112,0.85,8,5.12,11.6,5.7,0,
Run4B_05.dat,0.112,0.85,8,5.12,11.6,7.7,0,
Run4B_06.dat,0.112,0.85,8,5.12,11.6,8.7,1,Top 1 receiver in air
Run4B_07.dat,0.112,0.85,8,4,10.1,5.1,0,
Run4B_08.dat,0.112,0.85,8,3.85,5.2,1.8,1,Top 1 receiver in air
Run4B_09.dat,0.112,0.85,8,3.7,3.8,1,1,Top 1 receiver in air
Run4B_10.dat,0.112,0.85,8,3.5,10.3,5,0,
Run4B_11.dat,0.112,0.85,8,2.61,12.2,10.2,0,h taken as h_wall
Run4C_01.dat,0.126,0.85,8,5.12,13.1,1.7,0,
Run4C_02.dat,0.126,0.85,8,5.12,13.1,2.7,0,
Run4C_03.dat,0.126,0.85,8,5.12,13.1,3.7,0,
Run4C_04.dat,0.126,0.85,8,5.12,13.1,5.7,0,
Run4C_05.dat,0.126,0.85,8,5.12,13.1,7.7,0,
Run4C_06.dat,0.126,0.85,8,5.12,13.1,9.7,1,Top 1 receiver in air
Run4C_07.dat,0.126,0.85,8,4,11.6,5.1,0,
Run4C_08.dat,0.126,0.85,8,3.85,6.4,2.1,1,Top 1 receiver in air
Run4C_09.dat,0.126,0.85,8,3.7,5.5,1.7,1,Top and part of bottom in air
Run4C_10.dat,0.126,0.85,8,3.5,9,3.7,0,
Run4C_11.dat,0.126,0.85,8,2.61,13.2,10.2,0,h taken as h_wall
Run4D_01.dat,0.14,0.85,8,5.12,14.1,1.7,0,
Run4D_02.dat,0.14,0.85,8,5.12,14.1,2.7,0,
Run4D_03.dat,0.14,0.85,8,5.12,14.1,3.7,0,
Run4D_04.dat,0.14,0.85,8,5.12,14.1,5.7,0,
Run4D_05.dat,0.14,0.85,8,5.12,14.1,7.7,0,
Run4D_06.dat,0.14,0.85,8,5.12,14.1,9.7,1,Top 1 receiver in air
Run4D_07.dat,0.14,0.85,8,4,11.7,5,0,
Run4D_08.dat,0.14,0.85,8,3.85,8.4,3.8,0,
Run4D_09.dat,0.14,0.85,8,3.7,6.3,2.9,1,Top and part of bottom in air
Run4D_10.dat,0.14,0.85,8,3.5,9.5,4.1,0,
Run4D_11.dat,0.14,0.85,8,2.61,13.7,10.2,0,h taken as h_wall